days	index	term	rate
75	LIBOR	6M	0.0897646673196
76	LIBOR	6M	0.0845027003849
77	LIBOR	6M	0.0879374619174
78	LIBOR	6M	0.0884476589237
79	LIBOR	6M	0.087573929237
80	LIBOR	6M	0.0803814534814
81	LIBOR	6M	0.0888840421538
82	LIBOR	6M	0.082895575189
83	LIBOR	6M	0.0805410785893
84	LIBOR	6M	0.080764541497
85	LIBOR	6M	0.0859973103548
86	LIBOR	6M	0.0808406208211
87	LIBOR	6M	0.0816748167562
88	LIBOR	6M	0.0878645965843
89	LIBOR	6M	0.08104281032
90	LIBOR	6M	0.088075452631
91	LIBOR	6M	0.0828586256635
92	LIBOR	6M	0.0870974529615
93	LIBOR	6M	0.0866394815552
94	LIBOR	6M	0.0862505472191
95	LIBOR	6M	0.0814432855191
96	LIBOR	6M	0.0880532892045
97	LIBOR	6M	0.0856362590125
98	LIBOR	6M	0.088041976054
99	LIBOR	6M	0.0848329455969
100	LIBOR	6M	0.0810051773803
101	LIBOR	6M	0.0863353656259
102	LIBOR	6M	0.0895173995464
103	LIBOR	6M	0.0832354010531
104	LIBOR	6M	0.0859020029867
105	LIBOR	6M	0.0804512935697
106	LIBOR	6M	0.0889301519608
107	LIBOR	6M	0.0853947365768
108	LIBOR	6M	0.082560174322
109	LIBOR	6M	0.0816369870605
110	LIBOR	6M	0.0868324381069
111	LIBOR	6M	0.0852407124769
112	LIBOR	6M	0.0846517658401
113	LIBOR	6M	0.0809338972021
114	LIBOR	6M	0.0881703004974
115	LIBOR	6M	0.0867585484412
116	LIBOR	6M	0.0872346472754
117	LIBOR	6M	0.0862412551419
118	LIBOR	6M	0.0833404957884
119	LIBOR	6M	0.0862838882683
120	LIBOR	6M	0.0881577064908
121	LIBOR	6M	0.0873424270696
122	LIBOR	6M	0.0854702442714
123	LIBOR	6M	0.0812622018495
124	LIBOR	6M	0.0866936053444
125	LIBOR	6M	0.0800042204167
126	LIBOR	6M	0.0883976996138
127	LIBOR	6M	0.0861828197947
128	LIBOR	6M	0.0846311397157
129	LIBOR	6M	0.0810479564298
130	LIBOR	6M	0.0800149969428
131	LIBOR	6M	0.0803477701882
132	LIBOR	6M	0.0816065212098
133	LIBOR	6M	0.0832638342468
134	LIBOR	6M	0.0840935997776
135	LIBOR	6M	0.0810286624476
136	LIBOR	6M	0.0820191382251
137	LIBOR	6M	0.0845952427001
138	LIBOR	6M	0.0874388209883
139	LIBOR	6M	0.0852577527666
140	LIBOR	6M	0.084726623591
141	LIBOR	6M	0.0869492094636
142	LIBOR	6M	0.0812280861753
143	LIBOR	6M	0.0854241155515
144	LIBOR	6M	0.0866661532199
145	LIBOR	6M	0.0803952069052
146	LIBOR	6M	0.0854379336027
147	LIBOR	6M	0.0882610623445
148	LIBOR	6M	0.0812084989089
149	LIBOR	6M	0.0878257449822
150	LIBOR	6M	0.0865070432174
151	LIBOR	6M	0.0804635298801
152	LIBOR	6M	0.0802493969901
153	LIBOR	6M	0.0832912515652
154	LIBOR	6M	0.0821969146311
155	LIBOR	6M	0.0891093728456
156	LIBOR	6M	0.080997584346
157	LIBOR	6M	0.0886828080397
158	LIBOR	6M	0.0851333110364
159	LIBOR	6M	0.0831222287536
160	LIBOR	6M	0.0842771295123
161	LIBOR	6M	0.0802332519228
162	LIBOR	6M	0.0859886105257
163	LIBOR	6M	0.0872595213383
164	LIBOR	6M	0.0890304902675
165	LIBOR	6M	0.0817008246662
166	LIBOR	6M	0.0817861138963
167	LIBOR	6M	0.0888334805441
168	LIBOR	6M	0.0810585382857
169	LIBOR	6M	0.0893335480146
170	LIBOR	6M	0.0828763594648
171	LIBOR	6M	0.0867546479875
172	LIBOR	6M	0.0877965459909
173	LIBOR	6M	0.0815128795432
174	LIBOR	6M	0.087234285997
175	LIBOR	6M	0.0877757081269
176	LIBOR	6M	0.0883207567005
177	LIBOR	6M	0.089678606339
178	LIBOR	6M	0.0827752544386
179	LIBOR	6M	0.0896344984358
180	LIBOR	6M	0.0857565340483
181	LIBOR	6M	0.0821575293211
182	LIBOR	6M	0.0877434100819
183	LIBOR	6M	0.0800296090393
184	LIBOR	6M	0.0822439698656
185	LIBOR	6M	0.0878796416697
186	LIBOR	6M	0.0809634360255
187	LIBOR	6M	0.0869157936152
188	LIBOR	6M	0.0896278181143
189	LIBOR	6M	0.0849170663712
190	LIBOR	6M	0.0835236316073
191	LIBOR	6M	0.0845969340396
192	LIBOR	6M	0.0805182793741
193	LIBOR	6M	0.0810534885957
194	LIBOR	6M	0.0861822078714
195	LIBOR	6M	0.0848965105175
196	LIBOR	6M	0.0872269539136
197	LIBOR	6M	0.0835784488733
198	LIBOR	6M	0.0866067758135
199	LIBOR	6M	0.089519422185
200	LIBOR	6M	0.0875043494851
201	LIBOR	6M	0.0801559844191
202	LIBOR	6M	0.0869375298296
203	LIBOR	6M	0.0814784809425
204	LIBOR	6M	0.0835186421289
205	LIBOR	6M	0.0852975164656
206	LIBOR	6M	0.0861517039488
207	LIBOR	6M	0.0838348605519
208	LIBOR	6M	0.0849408398097
209	LIBOR	6M	0.0873958440241
210	LIBOR	6M	0.0804410856627
211	LIBOR	6M	0.0890471877601
212	LIBOR	6M	0.0840361099171
213	LIBOR	6M	0.0879868104836
214	LIBOR	6M	0.0894823958553
215	LIBOR	6M	0.0838990173325
216	LIBOR	6M	0.0841099142843
217	LIBOR	6M	0.0889642660881
218	LIBOR	6M	0.0812039755049
219	LIBOR	6M	0.0828670046386
220	LIBOR	6M	0.0897661997335
221	LIBOR	6M	0.0831879369066
222	LIBOR	6M	0.089285806648
223	LIBOR	6M	0.0879732492178
224	LIBOR	6M	0.081802726435
225	LIBOR	6M	0.089534726698
226	LIBOR	6M	0.0899813273235
227	LIBOR	6M	0.0858224308966
228	LIBOR	6M	0.0811879402489
229	LIBOR	6M	0.0850401687207
230	LIBOR	6M	0.0808385370552
231	LIBOR	6M	0.0871784842617
232	LIBOR	6M	0.0807338071194
233	LIBOR	6M	0.0820854647769
234	LIBOR	6M	0.0819565147911
235	LIBOR	6M	0.0845022021866
236	LIBOR	6M	0.0833787959184
237	LIBOR	6M	0.0833500987033
238	LIBOR	6M	0.0829444362335
239	LIBOR	6M	0.0884681132771
240	LIBOR	6M	0.0812251713783
241	LIBOR	6M	0.0808876664738
242	LIBOR	6M	0.0897842175758
243	LIBOR	6M	0.0864836351059
244	LIBOR	6M	0.0867078992754
245	LIBOR	6M	0.0835588729025
246	LIBOR	6M	0.0811138083921
247	LIBOR	6M	0.0882059662276
248	LIBOR	6M	0.0866619622112
249	LIBOR	6M	0.0885768319533
250	LIBOR	6M	0.0839624752584
251	LIBOR	6M	0.0805556920749
252	LIBOR	6M	0.0827347654003
253	LIBOR	6M	0.0871255902943
254	LIBOR	6M	0.081832439049
255	LIBOR	6M	0.0824954518121
256	LIBOR	6M	0.0836199276398
257	LIBOR	6M	0.0882744382721
258	LIBOR	6M	0.0857879729499
259	LIBOR	6M	0.0801356827211
260	LIBOR	6M	0.0807212235716
261	LIBOR	6M	0.0888769673885
262	LIBOR	6M	0.0839237338857
263	LIBOR	6M	0.0866737305373
264	LIBOR	6M	0.0842212800031
265	LIBOR	6M	0.0828285873109
266	LIBOR	6M	0.0877681815585
267	LIBOR	6M	0.0858641577051
268	LIBOR	6M	0.0865792781301
269	LIBOR	6M	0.0896192181525
270	LIBOR	6M	0.083104826014
271	LIBOR	6M	0.0899716386174
272	LIBOR	6M	0.0820234407969
273	LIBOR	6M	0.0872633670454
274	LIBOR	6M	0.0888192182886
275	LIBOR	6M	0.0863141843127
276	LIBOR	6M	0.0816606501042
277	LIBOR	6M	0.0874286997504
278	LIBOR	6M	0.0847799934252
279	LIBOR	6M	0.0831233391675
280	LIBOR	6M	0.0881601386843
281	LIBOR	6M	0.0838499715715
282	LIBOR	6M	0.0829037584502
283	LIBOR	6M	0.0808852588733
284	LIBOR	6M	0.0851460771217
285	LIBOR	6M	0.0842952660045
286	LIBOR	6M	0.0856421093025
287	LIBOR	6M	0.0835941069345
288	LIBOR	6M	0.0897630071891
289	LIBOR	6M	0.0819024274379
290	LIBOR	6M	0.0846634838268
291	LIBOR	6M	0.0879048272281
292	LIBOR	6M	0.0892448476722
293	LIBOR	6M	0.0860432812879
294	LIBOR	6M	0.0826635725741
295	LIBOR	6M	0.0828617610375
296	LIBOR	6M	0.0826497905114
297	LIBOR	6M	0.084176192535
298	LIBOR	6M	0.0821609991672
299	LIBOR	6M	0.0830018776223
300	LIBOR	6M	0.0885215107898
301	LIBOR	6M	0.0821295309007
302	LIBOR	6M	0.0856924514181
303	LIBOR	6M	0.084774971838
304	LIBOR	6M	0.0823152384228
305	LIBOR	6M	0.0866625968934
306	LIBOR	6M	0.0861276664109
307	LIBOR	6M	0.0873298691857
308	LIBOR	6M	0.0843517716006
309	LIBOR	6M	0.0871540155091
310	LIBOR	6M	0.089269990079
311	LIBOR	6M	0.0870879305936
312	LIBOR	6M	0.0836279375516
313	LIBOR	6M	0.0862578379563
314	LIBOR	6M	0.088389513471
315	LIBOR	6M	0.0835756598327
316	LIBOR	6M	0.0887305802782
317	LIBOR	6M	0.0873086561602
318	LIBOR	6M	0.089930745435
319	LIBOR	6M	0.0838212740254
320	LIBOR	6M	0.0835727085194
321	LIBOR	6M	0.0864792807626
322	LIBOR	6M	0.0892833562823
323	LIBOR	6M	0.0881580561865
324	LIBOR	6M	0.0838441155674
325	LIBOR	6M	0.0822090734815
326	LIBOR	6M	0.0816915314935
327	LIBOR	6M	0.0845310222547
328	LIBOR	6M	0.0825730146884
329	LIBOR	6M	0.0814213698503
330	LIBOR	6M	0.0827169946978
331	LIBOR	6M	0.0886581474576
332	LIBOR	6M	0.0811079678235
333	LIBOR	6M	0.0829004125346
334	LIBOR	6M	0.0886318205065
335	LIBOR	6M	0.0843090504419
336	LIBOR	6M	0.0869698584836
337	LIBOR	6M	0.0884244251762
338	LIBOR	6M	0.0861819936681
339	LIBOR	6M	0.0874623875896
340	LIBOR	6M	0.0864405985973
341	LIBOR	6M	0.0820242052647
342	LIBOR	6M	0.0888288313254
343	LIBOR	6M	0.0811448178469
344	LIBOR	6M	0.0874486307201
345	LIBOR	6M	0.0864179320075
346	LIBOR	6M	0.0829496671475
347	LIBOR	6M	0.089889827874
348	LIBOR	6M	0.0817410164662
349	LIBOR	6M	0.0840524436526
350	LIBOR	6M	0.0833140350185
351	LIBOR	6M	0.0895207748915
352	LIBOR	6M	0.0822986187975
353	LIBOR	6M	0.0863712833238
354	LIBOR	6M	0.0846106494299
355	LIBOR	6M	0.0863213091136
356	LIBOR	6M	0.080256928614
357	LIBOR	6M	0.0847480121616
358	LIBOR	6M	0.0864205887949
359	LIBOR	6M	0.0828433167374
360	LIBOR	6M	0.087770890946
361	LIBOR	6M	0.0819212599289
362	LIBOR	6M	0.0835297640619
363	LIBOR	6M	0.0889492519415
364	LIBOR	6M	0.0890421305414
365	LIBOR	6M	0.0803056797774
366	LIBOR	6M	0.0889419050147
367	LIBOR	6M	0.0850613911475
368	LIBOR	6M	0.081595608483
369	LIBOR	6M	0.0820952653532
370	LIBOR	6M	0.0806600799942
371	LIBOR	6M	0.0820067307289
372	LIBOR	6M	0.0891364628435
373	LIBOR	6M	0.0842635996861
374	LIBOR	6M	0.081240994969
375	LIBOR	6M	0.0866205271492
376	LIBOR	6M	0.0824265040283
377	LIBOR	6M	0.0818206861084
378	LIBOR	6M	0.0834178409478
379	LIBOR	6M	0.0808908181472
380	LIBOR	6M	0.0811558468839
381	LIBOR	6M	0.081193831146
382	LIBOR	6M	0.0892274080122
383	LIBOR	6M	0.0836967386729
384	LIBOR	6M	0.0853406604643
385	LIBOR	6M	0.0888818085001
386	LIBOR	6M	0.0829550774805
387	LIBOR	6M	0.0899839627207
388	LIBOR	6M	0.081836342989
389	LIBOR	6M	0.083066730769
390	LIBOR	6M	0.0885762018791
391	LIBOR	6M	0.0816113272923
392	LIBOR	6M	0.0843039530298
393	LIBOR	6M	0.0892378907003
394	LIBOR	6M	0.0859434997287
395	LIBOR	6M	0.0840981752427
396	LIBOR	6M	0.0894362912406
397	LIBOR	6M	0.0836963146298
398	LIBOR	6M	0.087049424295
399	LIBOR	6M	0.0829099777671
400	LIBOR	6M	0.0887711796069
401	LIBOR	6M	0.0879705655831
402	LIBOR	6M	0.0896747187677
403	LIBOR	6M	0.081173121307
404	LIBOR	6M	0.082123418451
405	LIBOR	6M	0.0863599304815
406	LIBOR	6M	0.0852217751067
407	LIBOR	6M	0.0837021519638
408	LIBOR	6M	0.0836942257086
409	LIBOR	6M	0.0820999601234
410	LIBOR	6M	0.0848607951144
411	LIBOR	6M	0.0819267315937
412	LIBOR	6M	0.0839242542612
413	LIBOR	6M	0.0815028902992
414	LIBOR	6M	0.0825834200269
415	LIBOR	6M	0.0814413541933
416	LIBOR	6M	0.0833378640572
417	LIBOR	6M	0.0891575259681
418	LIBOR	6M	0.0834291539278
419	LIBOR	6M	0.0828173410977
420	LIBOR	6M	0.0845795268697
421	LIBOR	6M	0.0818355355568
422	LIBOR	6M	0.0882242085119
423	LIBOR	6M	0.0857166951532
424	LIBOR	6M	0.0878019884027
425	LIBOR	6M	0.0838131955364
426	LIBOR	6M	0.0812403155622
427	LIBOR	6M	0.0849680318367
428	LIBOR	6M	0.0888645650327
429	LIBOR	6M	0.089536018126
430	LIBOR	6M	0.0891842648326
431	LIBOR	6M	0.0833479759604
432	LIBOR	6M	0.0863521514531
433	LIBOR	6M	0.0886808041466
434	LIBOR	6M	0.0895833277836
435	LIBOR	6M	0.0805483427278
436	LIBOR	6M	0.0866956991554
437	LIBOR	6M	0.0821733980207
438	LIBOR	6M	0.0825405946105
439	LIBOR	6M	0.0844908883569
440	LIBOR	6M	0.0892652464649
441	LIBOR	6M	0.088017637277
442	LIBOR	6M	0.0841553448178
443	LIBOR	6M	0.0800945563563
444	LIBOR	6M	0.0818913778006
445	LIBOR	6M	0.0890564548443
446	LIBOR	6M	0.0826997758819
447	LIBOR	6M	0.0832472293537
448	LIBOR	6M	0.0895706747357
449	LIBOR	6M	0.0866734677052
450	LIBOR	6M	0.0842109288052
451	LIBOR	6M	0.0862026401424
452	LIBOR	6M	0.0864803871701
453	LIBOR	6M	0.0870940461229
454	LIBOR	6M	0.08683069504
455	LIBOR	6M	0.086334056099
456	LIBOR	6M	0.0844364540776
457	LIBOR	6M	0.0859620443723
458	LIBOR	6M	0.0810097491132
459	LIBOR	6M	0.08558320265
460	LIBOR	6M	0.0871070571223
461	LIBOR	6M	0.0843692485505
462	LIBOR	6M	0.0812757089372
463	LIBOR	6M	0.0883246920992
464	LIBOR	6M	0.0859275526064
465	LIBOR	6M	0.0812249550263
466	LIBOR	6M	0.0831293182027
467	LIBOR	6M	0.0835068912975
468	LIBOR	6M	0.0879205324667
469	LIBOR	6M	0.0864464793034
470	LIBOR	6M	0.0828457226567
471	LIBOR	6M	0.0814747983398
472	LIBOR	6M	0.085881504622
473	LIBOR	6M	0.0867891167202
474	LIBOR	6M	0.0877216496428
475	LIBOR	6M	0.0874637131781
476	LIBOR	6M	0.0821708799414
477	LIBOR	6M	0.0843469705976
478	LIBOR	6M	0.089905246854
479	LIBOR	6M	0.0862020775627
480	LIBOR	6M	0.0825173804673
481	LIBOR	6M	0.0884768139235
482	LIBOR	6M	0.0847694722997
483	LIBOR	6M	0.0859178964862
484	LIBOR	6M	0.081926882478
485	LIBOR	6M	0.0843890121921
486	LIBOR	6M	0.0822048373007
487	LIBOR	6M	0.0888975455304
488	LIBOR	6M	0.0805240361285
489	LIBOR	6M	0.0895089024819
490	LIBOR	6M	0.0830335596655
491	LIBOR	6M	0.0835108052252
492	LIBOR	6M	0.0863436717732
493	LIBOR	6M	0.0888503959226
494	LIBOR	6M	0.0825318686642
495	LIBOR	6M	0.0826276172495
496	LIBOR	6M	0.0800179680324
497	LIBOR	6M	0.089730388146
498	LIBOR	6M	0.0895753284827
499	LIBOR	6M	0.0827055510517
500	LIBOR	6M	0.0861210898246
501	LIBOR	6M	0.0821285473133
502	LIBOR	6M	0.0864405956457
503	LIBOR	6M	0.0872197764031
504	LIBOR	6M	0.0816277310057
505	LIBOR	6M	0.0859180400665
506	LIBOR	6M	0.088620689076
507	LIBOR	6M	0.0867550706923
508	LIBOR	6M	0.0832975326321
509	LIBOR	6M	0.0886073902548
510	LIBOR	6M	0.0873284927623
511	LIBOR	6M	0.0844553116511
512	LIBOR	6M	0.087654940326
513	LIBOR	6M	0.089495577318
514	LIBOR	6M	0.0888934237982
515	LIBOR	6M	0.0849466880135
516	LIBOR	6M	0.0819791663444
517	LIBOR	6M	0.0868309441234
518	LIBOR	6M	0.0898531540089
519	LIBOR	6M	0.0897692140188
520	LIBOR	6M	0.0877552797474
521	LIBOR	6M	0.0818153682895
522	LIBOR	6M	0.084098170192
523	LIBOR	6M	0.0872295756996
524	LIBOR	6M	0.0855279452516
525	LIBOR	6M	0.0867869083848
526	LIBOR	6M	0.0831806066695
527	LIBOR	6M	0.0802674714701
528	LIBOR	6M	0.0803124877399
529	LIBOR	6M	0.0801252656891
530	LIBOR	6M	0.0880165877069
531	LIBOR	6M	0.0897121777857
532	LIBOR	6M	0.0860491611152
533	LIBOR	6M	0.0888078679669
534	LIBOR	6M	0.0869378116877
535	LIBOR	6M	0.0807262535017
536	LIBOR	6M	0.0838113310346
537	LIBOR	6M	0.0899859678039
538	LIBOR	6M	0.0827153293729
539	LIBOR	6M	0.0864704123898
540	LIBOR	6M	0.0811643746149
541	LIBOR	6M	0.0810441470892
542	LIBOR	6M	0.0867440119455
543	LIBOR	6M	0.0835963466104
544	LIBOR	6M	0.0872732621959
545	LIBOR	6M	0.0875659388867
546	LIBOR	6M	0.0869555962943
547	LIBOR	6M	0.0869887191838
548	LIBOR	6M	0.0867715887497
549	LIBOR	6M	0.0891375176441
550	LIBOR	6M	0.0830082087494
551	LIBOR	6M	0.0842769929774
552	LIBOR	6M	0.0829977071123
553	LIBOR	6M	0.0800351945614
554	LIBOR	6M	0.0896230359888
555	LIBOR	6M	0.0819581714283
556	LIBOR	6M	0.0827444273174
557	LIBOR	6M	0.0816897161529
558	LIBOR	6M	0.0859133273886
559	LIBOR	6M	0.0876753629668
560	LIBOR	6M	0.080113832124
561	LIBOR	6M	0.0899087255946
562	LIBOR	6M	0.0802929594999
563	LIBOR	6M	0.0880558180176
564	LIBOR	6M	0.0800706397694
565	LIBOR	6M	0.087707933075
566	LIBOR	6M	0.0814137194766
567	LIBOR	6M	0.0847325947156
568	LIBOR	6M	0.0877405091848
569	LIBOR	6M	0.0825778201825
570	LIBOR	6M	0.0892103936426
571	LIBOR	6M	0.0800020053723
572	LIBOR	6M	0.0871229699822
573	LIBOR	6M	0.0836012770472
574	LIBOR	6M	0.0839361363901
575	LIBOR	6M	0.0807471332996
576	LIBOR	6M	0.0872946521285
577	LIBOR	6M	0.0820985133475
578	LIBOR	6M	0.0872855108038
579	LIBOR	6M	0.083533417441
580	LIBOR	6M	0.0855574592414
581	LIBOR	6M	0.0854287405028
582	LIBOR	6M	0.0847331000761
583	LIBOR	6M	0.0831647329232
584	LIBOR	6M	0.0802786059404
585	LIBOR	6M	0.0851705181855
586	LIBOR	6M	0.083889256369
587	LIBOR	6M	0.0886849847543
588	LIBOR	6M	0.085653105037
589	LIBOR	6M	0.0880775202796
590	LIBOR	6M	0.0865008279632
591	LIBOR	6M	0.0853264659066
592	LIBOR	6M	0.0808929513756
593	LIBOR	6M	0.0815137772703
594	LIBOR	6M	0.0829870920137
595	LIBOR	6M	0.0800141633991
596	LIBOR	6M	0.0805882297775
597	LIBOR	6M	0.0840987289897
598	LIBOR	6M	0.0825016382685
599	LIBOR	6M	0.0829552422668
600	LIBOR	6M	0.0883934856001
601	LIBOR	6M	0.0885292670624
602	LIBOR	6M	0.0866605301155
603	LIBOR	6M	0.0847811236245
604	LIBOR	6M	0.0801465486575
605	LIBOR	6M	0.0826795535987
606	LIBOR	6M	0.0896155867917
607	LIBOR	6M	0.085148687383
608	LIBOR	6M	0.0861240685357
609	LIBOR	6M	0.0807690948787
610	LIBOR	6M	0.0818810877614
611	LIBOR	6M	0.0886195619717
612	LIBOR	6M	0.0897667919534
613	LIBOR	6M	0.0837682231312
614	LIBOR	6M	0.0852169321185
615	LIBOR	6M	0.0860296566269
616	LIBOR	6M	0.0867584569211
617	LIBOR	6M	0.0846398798928
618	LIBOR	6M	0.0896229285281
619	LIBOR	6M	0.082526032873
620	LIBOR	6M	0.0898608881819
621	LIBOR	6M	0.0817219555425
622	LIBOR	6M	0.0858402486804
623	LIBOR	6M	0.0873912712744
624	LIBOR	6M	0.0861812067427
625	LIBOR	6M	0.0820968764658
626	LIBOR	6M	0.0830103365832
627	LIBOR	6M	0.0893833299421
628	LIBOR	6M	0.0814458924334
629	LIBOR	6M	0.0862876025954
630	LIBOR	6M	0.0804603726231
631	LIBOR	6M	0.0812631535469
632	LIBOR	6M	0.0821112367112
633	LIBOR	6M	0.0869248892465
634	LIBOR	6M	0.0881441025207
635	LIBOR	6M	0.0882821772974
636	LIBOR	6M	0.0883738298757
637	LIBOR	6M	0.0891783198678
638	LIBOR	6M	0.0819569063114
639	LIBOR	6M	0.0802931525646
640	LIBOR	6M	0.087232519407
641	LIBOR	6M	0.089917593942
642	LIBOR	6M	0.0814530249184
643	LIBOR	6M	0.0835532057883
644	LIBOR	6M	0.0844648163542
645	LIBOR	6M	0.0877315007418
646	LIBOR	6M	0.0873653065024
647	LIBOR	6M	0.0884279254312
648	LIBOR	6M	0.0843216919238
649	LIBOR	6M	0.0869164195764
650	LIBOR	6M	0.0811938017081
651	LIBOR	6M	0.0801147649641
652	LIBOR	6M	0.0829507398772
653	LIBOR	6M	0.0823660774081
654	LIBOR	6M	0.0807373777464
655	LIBOR	6M	0.0845934869692
656	LIBOR	6M	0.0855981373917
657	LIBOR	6M	0.0810697323395
658	LIBOR	6M	0.0891744060074
659	LIBOR	6M	0.080453813877
660	LIBOR	6M	0.0866889101257
661	LIBOR	6M	0.0823714326979
662	LIBOR	6M	0.0812825831108
663	LIBOR	6M	0.08888948091
664	LIBOR	6M	0.0802432317259
665	LIBOR	6M	0.0845241437242
666	LIBOR	6M	0.0878200038296
667	LIBOR	6M	0.082478757447
668	LIBOR	6M	0.0883868250948
669	LIBOR	6M	0.086841505291
670	LIBOR	6M	0.0835167114256
671	LIBOR	6M	0.0881386456818
672	LIBOR	6M	0.0836372539934
673	LIBOR	6M	0.087433815752
674	LIBOR	6M	0.0850410093494
675	LIBOR	6M	0.0898240894746
676	LIBOR	6M	0.0889974914665
677	LIBOR	6M	0.0805277470597
678	LIBOR	6M	0.0830499418072
679	LIBOR	6M	0.0810610640722
680	LIBOR	6M	0.0827378905238
681	LIBOR	6M	0.0848165138964
682	LIBOR	6M	0.0858773994015
683	LIBOR	6M	0.0829886626563
684	LIBOR	6M	0.0812154284803
685	LIBOR	6M	0.0877555708737
686	LIBOR	6M	0.0830739815265
687	LIBOR	6M	0.0895359429063
688	LIBOR	6M	0.0821641623779
689	LIBOR	6M	0.0866897285727
690	LIBOR	6M	0.0856507961803
691	LIBOR	6M	0.0809238511371
692	LIBOR	6M	0.0870264374432
693	LIBOR	6M	0.0811284349165
694	LIBOR	6M	0.080800119655
695	LIBOR	6M	0.0859597846038
696	LIBOR	6M	0.0820879575826
697	LIBOR	6M	0.0844166068582
698	LIBOR	6M	0.081477282762
699	LIBOR	6M	0.082629294212
700	LIBOR	6M	0.0855925819048
701	LIBOR	6M	0.0846553846567
702	LIBOR	6M	0.0844000579695
703	LIBOR	6M	0.0831204212176
704	LIBOR	6M	0.0852646998118
705	LIBOR	6M	0.0845138770542
706	LIBOR	6M	0.0848993700704
707	LIBOR	6M	0.0849122199447
708	LIBOR	6M	0.0818367710174
709	LIBOR	6M	0.0838534062336
710	LIBOR	6M	0.0859154211021
711	LIBOR	6M	0.0879271140522
712	LIBOR	6M	0.0836584948271
713	LIBOR	6M	0.0829675347543
714	LIBOR	6M	0.0881707704113
715	LIBOR	6M	0.0853495809658
716	LIBOR	6M	0.087941354544
717	LIBOR	6M	0.0819253617995
718	LIBOR	6M	0.0810278842883
719	LIBOR	6M	0.086126819793
720	LIBOR	6M	0.0806777409452
721	LIBOR	6M	0.0864109496195
722	LIBOR	6M	0.0846271702804
723	LIBOR	6M	0.0809529869697
724	LIBOR	6M	0.0812872177883
725	LIBOR	6M	0.08901364109
726	LIBOR	6M	0.0867956223998
727	LIBOR	6M	0.0836939627697
728	LIBOR	6M	0.0866717396806
729	LIBOR	6M	0.0847228719331
730	LIBOR	6M	0.080177324274
731	LIBOR	6M	0.0881731526103
732	LIBOR	6M	0.0844606120265
733	LIBOR	6M	0.0899957386177
734	LIBOR	6M	0.0866170329468
735	LIBOR	6M	0.0815464043291
736	LIBOR	6M	0.0860630760412
737	LIBOR	6M	0.0863886499414
738	LIBOR	6M	0.0845453171139
739	LIBOR	6M	0.0839120296298
